text,label,source,confidence
"VinCommerce | Phô mai lát Sandwich Zott gói 200g, VMH-K.mặt CTCC hồng/xanh 34*75*1079, ACK Phở trộn ệ nhất hương vị Phở bò 84g, NONGSHIM Mi Shin Ramyun gói 120g, Ken: Strongbow Dark Fruit 330 ml T24, Nấm kim châm VN 150g, ậu hũ non Bibigo ống Kim’s 220gr, Cải chíp (cải thìa) DL L1 Vineco 34.900/KG x 0,464 KG",Ăn uống,manual,1.0
"VinCommerce | Táo Envy NewZealand 90-110 157.500/KG x 0,950 KG, KM, Bưởi hồng da xanh túi lưới 65.300/KG x 1,422 KG, KM, Mít quả 43.900/KG x 1,242 KG, Kẹo trái cây SKITTLES 45g, Xúc xích Red tiệt trùng CP (MN) gói 200g, Xúc xích Red tiệt trùng CP (MN) gói 200g, MARSMALLOWS Kẹo Mega 120g, CU tt Fristi h.nho L6 hộpx80ml",Ăn uống,manual,1.0
"CỬA HÀNG NĂM OÁNH | Bánh gạo mặn One One 225g, Bánh gạo One.one ngọt 230g, Bánh Akiko nhân cafe 160g, GVS Watersilk 10c ko lõi",Ăn uống,auto_verified,0.8
"CÔNG TY TNHH DỊCH VỤ HÀ PHƯƠNG VIỆT NAM | Maggi Dầu hào 12*350g KM Nước tương DD200, Dầu hào 820g *12 chai, NESCAFE Nước cốt cà phê đen 6(5*75ml) MYW, Maggi nước tương đậm đặc 12x700ml NE1, Sữa lúa mạch Nestle Milo 12(4*180ml) Mới, TPBS sữa lúa mạch Nestle milo A2 12(4*110ml), Chiết khấu KMT",Ăn uống,auto_verified,0.8
"Co.op Food | Hanh la Mien Bac Kg, Bun Khuong Huy 500g, Nam huong 3D 40g, Chao VIFON vi ga co thit",Ăn uống,auto_verified,0.8
"THE COFFEE HOUSE | Oolong Vải Như Ý, - Đá (Lon)",Ăn uống,auto_verified,0.8
"MINIMART ANAN | Thạch rau câu Long Hải g?i, hướng dương 0,4kg, ngô nếp tươi sấy gói 160g m",Ăn uống,auto_verified,0.8
"MINIMART ANAN | quẩy xoắn hàn quốc gói 280g N0, bánh gạo richy to 315g NT, Bột chiên xù NT",Ăn uống,auto_verified,0.8
"MART ANAN | BVS kạo mồng cánh NT, mì omachi bò hầm nấu gói 10 NO, Mì omachi sườn 80g NT, bánh mì sandwich bảo ngọc 2 NO, Hộp thịt lợn xay HL 170g NT, pate thịt heo vissan NO",Ăn uống,auto_verified,0.8
"VinCommerce | Ùi tỏi gà CP - Khay 500G, Coupon giảm 50% Thịt, hải sản, C.Biến_V+, Ùi tỏi gà CP - Khay 500G, Coupon giảm 50% Thịt, hải sản, C.Biến_V+, Ùi tỏi gà CP - Khay 500G, Coupon giảm 50% Thịt, hải sản, C.Biến_V+, Ùi tỏi gà CP - Khay 500G, Coupon giảm 50% Thịt, hải sản, C.Biến_V+, Táo Envy New Zealand 90-110, ACK Phở rộn ệ nhất Phở Thập Cẩm Cay 82g",Ăn uống,auto_verified,0.8
"VinCommerce | Mặt hàng, MML_Nac thân heo (S), Xúc xích Deli Việt Nam Le Gourmet G500g, sữa uông lên men Yakult 65ml, Giò lụa HNF 300g, BIBIGO Kimchi cải thảo cắt lát 500g, Layos Wavy thân bò nướng Texas 95/100g, HẢI CHÂU Bột canh i-ốt Hải châu gối 190g, OSTAR Snack vị Kim Chi Hàn Quốc 90g(T22), COCA Nước giải khát 330/320ml T24",Ăn uống,auto_verified,0.8
"VinCommerce | Đậu Phộng Mực Cay Pinattsu100-95gr T/50g, Lay's vị Tảo biển Nori 52/56g",Ăn uống,auto_verified,0.8
"O&#39;Star táo 30g, O&#39;Star kimchi 30g, Swing max bò 30g, O&#39;Star Muối 36g, TaYo X táo ngọt 30g",Ăn uống,auto_verified,0.8
"MINIMART ANAN | Mắm Nam ngưệ, xúc xích cp 8, 10 dài NT",Ăn uống,auto_verified,0.8
"CO.OPMART | GelTaytoiletVIM H.ChanhSa, XCT JumboVape H.hoa lai 6, KDR P/S BV123 ThanHoatTin, NRT Lifebuoy csd tui 450g, 2BCDR P/S Charcoal than b, 2BCDR P/S Charcoal than b, Thanh Long PHiet L1, Quyt duong loai 1 kg, S-Suatt DLcaokhoe cd 24x1",Ăn uống,auto_verified,0.8
"Cari Trương | Bia tươi, Cơm bò sốt tiêu, Nem rán thịt, Khoai tây chiên, coke, weed",Ăn uống,auto_verified,0.8
"Co.opmart NGUYEN DINH CHIEU | Dui bittet bo UC kg-VS990, Muoi bienCoop Select tsay, NGK CocaCola lon cao, Mien Coop Select thit bam, KDR CloseUp tt bang tuyet, KDR CloseUp tt bang tuyet, KDR CloseUp tt bang tuyet, Banh phuc linh MyVan hop1, Banh phuc linh MyVan hop1",Ăn uống,auto_verified,0.8
"Nét Huế | Hến Xúc Bánh Tráng, Nem lui, Bún bò 50. (Noodle), Thịt Luộc Chấm Tôm, Chùa., Móng., Bia Hà Nội.",Ăn uống,auto_verified,0.8
"GO COFFEE | Sữa tươi đường đen, Yaourt dâu, Lipton gô, Trà lài vải, Milo Dầm",Ăn uống,auto_verified,0.8
"BEN NAY RESTAURANT | Roasted Shrimp w/ Salt, Pepper, Roasted Pork Ribs w/ Salt, Fried Chicken w/ Fish Sauce, Fried Rice w/ Seafood, Saigon export beer, Orange juice without ice, Pineapple, French Fries",Ăn uống,auto_verified,0.8
"Phúc Anh Minimart | TH ít Đường 110ml - Thùng, Tã Quần Huggie size L68 + 8 miếng, SCA Susu IQ dầu chuối 80g, Chupa Chups gấu 24g",Ăn uống,auto_verified,0.8
"VinCommerce | CLEAR Dầu gội thảo dược 630g, GERVENNE ST trắng n.hoa tc sữa dẻ 900g, COLGATE KR ngừa sâu răng 250g+bc, VMHOME Sữa RT dưỡng ẩm hương cà phê 500g, CP_Sườn già heo 300g, CP_Sườn non heo 300g, CP_Thịt ba rọi có da 300g, CP_Móng heo 500g, CP_Bắp giò heo không xương 300g",Ăn uống,auto_verified,0.8
"Demo Online Quán Ăn & Quán Nhậu | càng cua rang muối, Sài gòn lager lon, Ghe rang me, Khăn lạnh",Ăn uống,auto_verified,0.8
"PHIẾU TAM TINH | tôm sú biển hấp, bia, cá mú, cò, mực chiên nước mắm, thịt bò, cá tim nướng mỡ hành, rau muống xào tỏi, bò láng nướng phomai, phở bò / gà",Ăn uống,auto_verified,0.8
"SIÊU THỊ BÁCH HÓA TỔNG HỢP | Nước giặt Suby hương ngân hoa can 5m NT, Bia Hà Nội lon 330ml T24(vàng) NT, Patè gan Ha Long 170g T2, Patè gan hảo vi Mai Vàng Vissan 150g T2, Bột canh Vifon 200g T40 T2, Hạt nêm chay Knorr nấm hương 380g/16 T2, Muối hạt sạch DH 999-1Kg/30 gói NT, Bộ cốc TT lùn trơn CB001 NT, Hộp đựng kim chỉ 601 NT",Ăn uống,auto_verified,0.8
"MARUKAME UDON & TEMPURA | Compo Udon Champon & nước mơ chanh sả, Tempura Khoai lang, Tempura rau củ 1- Khoai lang",Ăn uống,auto_verified,0.8
MINH HIỀN VEGETARIAN RESTAURANT | Hoi An Special Noodle,Ăn uống,synthetic,0.95
"PHIẾU TAM TINH | cò, bò láng nướng phomai, phở bò / gà, bia, cá tim nướng mỡ hành, rau muống xào tỏi, cá mú, thịt bò, tôm sú biển hấp",Ăn uống,synthetic,0.95
"MINIMART ANAN | Tương ớt chinsu 250g NT, Bột mì meizan 1kg NT",Ăn uống,synthetic,0.95
"Cà phê Vivienne Vivienne coffee, Nước hoa quả tự chọn Mix juice, Trà mạn (ice/hot) Viet nam Green tea, hạt hướng dương Sun flower seeds",Ăn uống,synthetic,0.95
"VinCommerce | Ùi tỏi gà CP - Khay 500G, Coupon giảm 50% Thịt, C.Biến_V+, hải sản, Coupon giảm 50% Thịt, C.Biến_V+, Coupon giảm 50% Thịt, C.Biến_V+, hải sản, ACK Phở rộn ệ nhất Phở Thập Cẩm Cay 82g, C.Biến_V+, hải sản, Coupon giảm 50% Thịt, Táo Envy New Zealand 90-110, Ùi tỏi gà CP - Khay 500G, Ùi tỏi gà CP - Khay 500G, Ùi tỏi gà CP - Khay 500G",Ăn uống,synthetic,0.95
SoBanHang | [Vỉ dụ] Bánh mì Việt Nam ngon bá cháy,Ăn uống,synthetic,0.95
"MINIMART ANAN | Thuốc lá 3 số 555 NT, Sữa bột pedia NT, Kem merino super teen NT",Ăn uống,synthetic,0.95
Saigon Co.op | Chuoi tieu song,Ăn uống,synthetic,0.95
THE NOODLE HOUSE - 225NVT | Phở gà Đệ nhất Tràng An,Ăn uống,synthetic,0.95
"VinCommerce | Măng Lay Tây Bắc KIM BÔI 300g, SG FOOD Nước Dùng côặc vị LẩuThái 150Gr",Ăn uống,synthetic,0.95
VinCommerce | CP_xương ống 500g,Ăn uống,synthetic,0.95
"Café Mộc Lan | Sâm Dứa, Nước Chanh, Kem, Sữa Chua, Nước Cam, Bò Húc, Café Đen",Ăn uống,synthetic,0.95
"GO COFFEE | Yaourt dâu, Trà lài vải, Lipton gô",Ăn uống,synthetic,0.95
"Nhà hàng A Vương | Phở gà đùi, Rượu Macallan 2",Ăn uống,synthetic,0.95
"VinCommerce | hải sản, ACK Phở rộn ệ nhất Phở Thập Cẩm Cay 82g, C.Biến_V+, Coupon giảm 50% Thịt, C.Biến_V+, hải sản, hải sản, Ùi tỏi gà CP - Khay 500G, Coupon giảm 50% Thịt, Coupon giảm 50% Thịt, C.Biến_V+, C.Biến_V+, Ùi tỏi gà CP - Khay 500G, Ùi tỏi gà CP - Khay 500G, Ùi tỏi gà CP - Khay 500G, Coupon giảm 50% Thịt, hải sản",Ăn uống,synthetic,0.95
"CỬA HÀNG NĂM OÁNH | Bánh gạo mặn One One 225g, Bánh gạo One.one ngọt 230g",Ăn uống,synthetic,0.95
"MART ANAN | bánh mì sandwich bảo ngọc 2 NO, Mì omachi sườn 80g NT, BVS kạo mồng cánh NT, Hộp thịt lợn xay HL 170g NT",Ăn uống,synthetic,0.95
"SIÊU THỊ BÁCH HÓA TỔNG HỢP | Nước giặt Suby hương ngân hoa can 5m NT, Bột canh Vifon 200g T40 T2, Patè gan hảo vi Mai Vàng Vissan 150g T2, Bộ cốc TT lùn trơn CB001 NT, Bia Hà Nội lon 330ml T24(vàng) NT, Muối hạt sạch DH 999-1Kg/30 gói NT, Hộp đựng kim chỉ 601 NT, Hạt nêm chay Knorr nấm hương 380g/16 T2",Ăn uống,synthetic,0.95
"Café Mộc Lan | Bò Húc, Café Đen, Nước Cam, Sữa Chua, Sâm Dứa, Kem",Ăn uống,synthetic,0.95
"trasencodau | Ốp la thập cẩm, Phụ thu do Ăn không Uống",Ăn uống,synthetic,0.95
"MARUKAME UDON & TEMPURA | Tempura rau củ 1- Khoai lang, Compo Udon Champon & nước mơ chanh sả",Ăn uống,synthetic,0.95
"VinCommerce | Bơ đặc biệt, SCU có đường Probi VNM L4 chaix130ml",Ăn uống,synthetic,0.95
"MINIMART ANAN | Thạch rau câu Long Hải g?i, hướng dương 0",Ăn uống,synthetic,0.95
VinCommerce | Rau muống L1 Vineco,Ăn uống,synthetic,0.95
"O&#39;Star Muối 36g, O&#39;Star kimchi 30g, Swing max bò 30g, O&#39;Star táo 30g",Ăn uống,synthetic,0.95
"VinCommerce | ARGO Rong biển trộn cơm Argo gói 50g T30, Tím gà CP 500g, 518 KG, CP_Thịt heo xay 300g, SLIDE Snack k.tây tự nhiên 75g (T28)",Ăn uống,synthetic,0.95
"Saigon Co.op | Rau muong, Thit xay pha loc",Ăn uống,synthetic,0.95
"hạt hướng dương Sun flower seeds, Nước hoa quả tự chọn Mix juice, sinh tố bơ Avocado smothies, Trà mạn (ice/hot) Viet nam Green tea",Ăn uống,synthetic,0.95
"Saigon Co.op | Bi ngoai xanh, Chuoi Tieu Hong",Ăn uống,synthetic,0.95
"Café Mộc Lan | Sữa Chua, Café Sữa, Nước Cam, Kem, Bò Húc, Café Đen, Sâm Dứa",Ăn uống,synthetic,0.95
"MARUKAME UDON & TEMPURA | Tempura Khoai lang, Tempura rau củ 1- Khoai lang",Ăn uống,synthetic,0.95
"VinCommerce | GERVENNE ST trắng n.hoa tc sữa dẻ 900g, CP_Thịt ba rọi có da 300g, CLEAR Dầu gội thảo dược 630g, CP_Sườn già heo 300g, VMHOME Sữa RT dưỡng ẩm hương cà phê 500g, CP_Bắp giò heo không xương 300g, CP_Móng heo 500g",Ăn uống,synthetic,0.95
"Café Mộc Lan | Café Đen, Bò Húc, Sữa Chua, Kem, Nước Chanh, Sâm Dứa",Ăn uống,synthetic,0.95
"MINIMART ANAN | Nước C2 trà xanh 360ml NT, 8936048471248 NT",Ăn uống,synthetic,0.95
"BIA TƯƠI TIGER 500ml, CÀ PHÊ ĐEN - BLACK COFFEE, ỐC VÒI VOI / ELEPHANT CLAM, NƯỚC ÉP CHANH DÂY / PASSION FRUIT JUICE, SODA XOÀI / MANGO SODA, SINH TỐ XOÀI / THƠM / MANGO / PINEAPPLE SMOOTHIE, CÁ CHÌNH / SEA EEL",Ăn uống,synthetic,0.95
Saigon Co.op | Rau muong,Ăn uống,synthetic,0.95
trasencodau | Cháo đậu đỏ cá bống,Ăn uống,synthetic,0.95
"THE COFFEE HOUSE | Bánh Mì Thịt Nguội (Cay), Cà Phê Sữa Đá (Vừa)",Ăn uống,synthetic,0.95
"VinCommerce | COCA Nước giải khát 330/320ml T24, MML_Nac thân heo (S), sữa uông lên men Yakult 65ml, Mặt hàng, Giò lụa HNF 300g, BIBIGO Kimchi cải thảo cắt lát 500g, Xúc xích Deli Việt Nam Le Gourmet G500g, HẢI CHÂU Bột canh i-ốt Hải châu gối 190g",Ăn uống,synthetic,0.95
"Gà xào nấm, Xôi ngô, Xôi xéo",Ăn uống,synthetic,0.95
"ỐC VÒI VOI / ELEPHANT CLAM, CÀ PHÊ ĐEN - BLACK COFFEE, TÔM HÙM BÔNG TỪ 0.7KG < 1KG / CRAYFISH 0.7KG < 1KG, CÁ CHÌNH / SEA EEL, SODA XOÀI / MANGO SODA, BIA TƯƠI TIGER 500ml, SINH TỐ XOÀI / THƠM / MANGO / PINEAPPLE SMOOTHIE",Ăn uống,synthetic,0.95
"VinCommerce | Mặt hàng, sữa uông lên men Yakult 65ml, BIBIGO Kimchi cải thảo cắt lát 500g, MML_Nac thân heo (S), Layos Wavy thân bò nướng Texas 95/100g, COCA Nước giải khát 330/320ml T24, HẢI CHÂU Bột canh i-ốt Hải châu gối 190g, OSTAR Snack vị Kim Chi Hàn Quốc 90g(T22), Giò lụa HNF 300g",Ăn uống,synthetic,0.95
"CÔNG TY TNHH DỊCH VỤ HÀ PHƯƠNG VIỆT NAM | Maggi nước tương đậm đặc 12x700ml NE1, TPBS sữa lúa mạch Nestle milo A2 12(4*110ml), NESCAFE Nước cốt cà phê đen 6(5*75ml) MYW, Sữa lúa mạch Nestle Milo 12(4*180ml) Mới, Chiết khấu KMT, Dầu hào 820g *12 chai",Ăn uống,synthetic,0.95
"Xôi xéo, Xôi ngô, Gà xào nấm",Ăn uống,synthetic,0.95
"CỬA HÀNG NĂM OÁNH | Bánh gạo One.one ngọt 230g, GVS Watersilk 10c ko lõi",Ăn uống,synthetic,0.95
"MINIMART ANAN | Sữa bột pedia NT, Thuốc lá 3 số 555 NT",Ăn uống,synthetic,0.95
"êm phòng, p thái",Ăn uống,synthetic,0.95
Cty LD TNHH KFC Viet Nam | ZINGER BURGER E,Ăn uống,synthetic,0.95
"VINH NGUYEN RES | Soda, Sprite, Tonic, Coca",Ăn uống,synthetic,0.95
"PHỞ MỞ | Trà chanh đào nhiệt đới, Trà Quất Lắc Sữa Bạc Hà",Ăn uống,synthetic,0.95
"Co.opMart XA LO HA NOI | Choco KITKAT Greentea 8x1, Tao do New Zealand kg, Suatt DLADYcaokhoe cd goi, Thanh Long PThiet L1, Trung ga 10t/hop-V.food, Tao Fuji Nam Phi kg, B.CHOCO-PIE Lotte txanh h",Ăn uống,synthetic,0.95
"CƠM GÀ BẢO NGỌC | Mọc, Lẩu riêu cua gà truyền thống 279k, Bia Sài Gòn, Gà rang muối nửa con, Dưa chẻ, Rau muống xào 40k, Ngô chiên, Gà quay lu nhỏ, Bò ta 99k",Ăn uống,synthetic,0.95
"MINIMART ANAN | bánh que oishi akiko160g NO, bánh que mini waf 330g NT, thạch long hải caramen 1kg NO",Ăn uống,synthetic,0.95
"CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN THƯƠNG MẠI AN SƠN | Nước mắm Nam Ngư (QR) 15chai x 900ml, Mì Omachi quán xá Châu á bò Đài Loan 12 hộp x 95gr, Tương ớt CHIN-SU MB (QR) 3bl x 8chai x 250gr",Ăn uống,synthetic,0.95
"SIÊU THỊ MINH LOAN | Sữa TH gói ít đường, sáp thơm Airbipur hương hoa hồng",Ăn uống,synthetic,0.95
MINIMART ANAN | bánh gạo richy to 315g NT,Ăn uống,synthetic,0.95
"Nhà hàng Bảo Trang (Cơ sở 1) | Sushi cá ngừ, Dưa muối tổng hợp, Bánh xèo nhật",Ăn uống,synthetic,0.95
"MINIMART ANAN | nước dừa, xoài chabaa NO, Bánh Chocopie 6p 180g NT",Ăn uống,synthetic,0.95
"CO.OPMART | 2BCDR P/S Charcoal than b, KDR P/S BV123 ThanHoatTin, 2BCDR P/S Charcoal than b, Quyt duong loai 1 kg, NRT Lifebuoy csd tui 450g, XCT JumboVape H.hoa lai 6, GelTaytoiletVIM H.ChanhSa",Ăn uống,synthetic,0.95
"MINIMART ANAN | 4kg, hướng dương 0",Ăn uống,synthetic,0.95
"MINIMART ANAN | bánh que oishi akiko160g NO, Mì cốc moder lẩu NT",Ăn uống,synthetic,0.95
"Cari Trương | weed, Khoai tây chiên, coke, Nem rán thịt",Ăn uống,synthetic,0.95
"Co.opMart XA LO HA NOI | Mi ktayOMACHI sot spa bo, Tao hong Queen NewZealand, BCDR P/S long to m.mai, Bo sap loai 1 kg, Stuoi ttTH it duong goi22, Trung ga goc COOP 4T/hop, Mi OMACHI tom c.cay 5 sao",Ăn uống,synthetic,0.95
"CỬA HÀNG NĂM OÁNH | Cháo Sườn hầm đậu xanh 50g, Cháo Tổ Yến Thịt 50g",Ăn uống,synthetic,0.95
"Nét Huế | Thịt Luộc Chấm Tôm, Bia Hà Nội., Chùa., Hến Xúc Bánh Tráng, Móng.",Ăn uống,synthetic,0.95
"MINIMART ANAN | táo, nước dừa, Bánh Chocopie 6p 180g NT, xoài chabaa NO",Ăn uống,synthetic,0.95
"Co.opMart XA LO HA NOI | Tao Fuji Nam Phi kg, SDN FAMI canxi bich 200ml, Choco KITKAT Greentea 8x1, Thanh Long PThiet L1, Tao do New Zealand kg, Suatt DLADYcaokhoe cd goi, Ca chua Kg",Ăn uống,synthetic,0.95
"O&#39;Star kimchi 30g, O&#39;Star táo 30g, TaYo X táo ngọt 30g, O&#39;Star Muối 36g",Ăn uống,synthetic,0.95
"Co.opMart XA LO HA NOI | Luoi rua chen bon mua 17x, Mi ktayOMACHI sot spa bo, Trung ga goc COOP 4T/hop, Mi OMACHI tom c.cay 5 sao, Stuoi ttTH it duong goi22, Mi OMACHI s.ham n.qua 80g, Tao hong Queen NewZealand",Ăn uống,synthetic,0.95
"CỬA HÀNG NĂM OÁNH | Bánh Akiko nhân cafe 160g, Bánh gạo mặn One One 225g, GVS Watersilk 10c ko lõi",Ăn uống,synthetic,0.95
"MINIMART ANAN | Thạch rau câu Long Hải vị 5 NT, Bánh Custas 6p 138g NT, odeli 1k NT, Thạch joy VF hoa quả 800g NT, kẹo lạc, kẹo sữa alpenliebe 360g NT, Thạch sữa chua vf, kẹo chanh muối vitamin c Th N0, đổi vừng siu châu. NT, bánh gạo an gói 151g N0",Ăn uống,synthetic,0.95
"VinCommerce | Tím gà CP 500g, Cải xanh (cải canh) L1 Vineco 18.200/KG x 0, ARGO Rong biển trộn cơm Argo gói 50g T30, MIWON Rong biển giòn trộn gia vị 50g T20, CP_Thịt heo xay 300g, 518 KG",Ăn uống,synthetic,0.95
"Demo Online Quán Ăn & Quán Nhậu | Khăn lạnh, càng cua rang muối, Ghe rang me",Ăn uống,synthetic,0.95
"MINIMART ANAN | kem merino celano trân châu N0, Kem merino super teen NT",Ăn uống,synthetic,0.95
"CÔNG TY TNHH DỊCH VỤ HÀ PHƯƠNG VIỆT NAM | NESCAFE Nước cốt cà phê đen 6(5*75ml) MYW, Sữa lúa mạch Nestle Milo 12(4*180ml) Mới, Maggi Dầu hào 12*350g KM Nước tương DD200, Chiết khấu KMT, Dầu hào 820g *12 chai",Ăn uống,synthetic,0.95
MINIMART ANAN | Mắm Nam ngưệ,Ăn uống,synthetic,0.95
"CƠM GÀ BẢO NGỌC | Bia Sài Gòn, Mọc, Lẩu riêu cua gà truyền thống 279k, Gà rang muối nửa con, Ngô chiên, Trà sâm dứa ca, Rau muống xào 40k, Bò ta 99k, Gà quay lu nhỏ",Ăn uống,synthetic,0.95
"PHIẾU TAM TINH | phở bò / gà, bò láng nướng phomai, tôm sú biển hấp, cá tim nướng mỡ hành, cá mú, cò, thịt bò, mực chiên nước mắm, rau muống xào tỏi",Ăn uống,synthetic,0.95
Phiếu Thanh Toán | Trà sữa trân châu(Size M),Ăn uống,synthetic,0.95
"PAUL BAKERY VN | Ice Espres Mando, Ice Latte",Ăn uống,synthetic,0.95
"CỬA HÀNG NĂM OÁNH | Cháo Tổ Yến TN 50g, Núm Pigeon L trắng, Cháo Tổ Yến Thịt 50g",Ăn uống,synthetic,0.95
